ConfigID	k_StrategiesPerAgent	K_StrategySpace	l_Lambda	m_Memory	n_Agents	p_Crowded	s_Seed	ABMAT_Max_t	ABMAT_SeqMC_BCc	ABMAT_SeqMC_Pv	ABMAT_SeqMC_seed	ABMAT_Window
45.0	0.0	0.8	0.5	12.0	6010.0	0.4	161357158.0	1000.0	20.0	0.05	1563773446.0	300.0
46.0	0.0	0.0	0.5	12.0	8010.0	0.4	1064059499.0	1000.0	20.0	0.05	1478332889.0	300.0
47.0	0.0	0.2	0.5	12.0	8010.0	0.4	933784599.0	1000.0	20.0	0.05	529144338.0	300.0
48.0	0.0	0.4	0.5	12.0	8010.0	0.4	1759008833.0	1000.0	20.0	0.05	1716732527.0	300.0
49.0	0.0	0.6	0.5	12.0	8010.0	0.4	1491849311.0	1000.0	20.0	0.05	584427233.0	300.0
50.0	0.0	0.8	0.5	12.0	8010.0	0.4	1267510705.0	1000.0	20.0	0.05	775185541.0	300.0
51.0	0.0	0.0	0.5	12.0	10.0	0.6	196671006.0	1000.0	20.0	0.05	1969915903.0	300.0
52.0	0.0	0.2	0.5	12.0	10.0	0.6	293815773.0	1000.0	20.0	0.05	2040619178.0	300.0
53.0	0.0	0.4	0.5	12.0	10.0	0.6	957790104.0	1000.0	20.0	0.05	397569938.0	300.0
54.0	0.0	0.6	0.5	12.0	10.0	0.6	1163723423.0	1000.0	20.0	0.05	1874636907.0	300.0
55.0	0.0	0.8	0.5	12.0	10.0	0.6	1572440970.0	1000.0	20.0	0.05	1732076876.0	300.0
56.0	0.0	0.0	0.5	12.0	2010.0	0.6	1414726507.0	1000.0	20.0	0.05	1486652602.0	300.0
57.0	0.0	0.2	0.5	12.0	2010.0	0.6	1823633775.0	1000.0	20.0	0.05	536157967.0	300.0
58.0	0.0	0.4	0.5	12.0	2010.0	0.6	1051032106.0	1000.0	20.0	0.05	475043660.0	300.0
59.0	0.0	0.6	0.5	12.0	2010.0	0.6	2121000896.0	1000.0	20.0	0.05	2027351994.0	300.0
60.0	0.0	0.8	0.5	12.0	2010.0	0.6	84668434.0	1000.0	20.0	0.05	1515211145.0	300.0
61.0	0.0	0.0	0.5	12.0	4010.0	0.6	1986955631.0	1000.0	20.0	0.05	387782602.0	300.0
62.0	0.0	0.2	0.5	12.0	4010.0	0.6	1219653095.0	1000.0	20.0	0.05	1965996148.0	300.0
63.0	0.0	0.4	0.5	12.0	4010.0	0.6	72898435.0	1000.0	20.0	0.05	1497698619.0	300.0
64.0	0.0	0.6	0.5	12.0	4010.0	0.6	638552131.0	1000.0	20.0	0.05	1985125713.0	300.0
65.0	0.0	0.8	0.5	12.0	4010.0	0.6	2085331702.0	1000.0	20.0	0.05	2027796844.0	300.0
66.0	0.0	0.0	0.5	12.0	6010.0	0.6	1018367276.0	1000.0	20.0	0.05	1851222496.0	300.0
67.0	0.0	0.2	0.5	12.0	6010.0	0.6	1813656023.0	1000.0	20.0	0.05	685263049.0	300.0
68.0	0.0	0.4	0.5	12.0	6010.0	0.6	1780082426.0	1000.0	20.0	0.05	79473291.0	300.0
69.0	0.0	0.6	0.5	12.0	6010.0	0.6	1280479814.0	1000.0	20.0	0.05	493940218.0	300.0
70.0	0.0	0.8	0.5	12.0	6010.0	0.6	258915416.0	1000.0	20.0	0.05	165255743.0	300.0
71.0	0.0	0.0	0.5	12.0	8010.0	0.6	1495268760.0	1000.0	20.0	0.05	729875927.0	300.0
72.0	0.0	0.2	0.5	12.0	8010.0	0.6	1556424790.0	1000.0	20.0	0.05	140351674.0	300.0
73.0	0.0	0.4	0.5	12.0	8010.0	0.6	677080845.0	1000.0	20.0	0.05	1158548729.0	300.0
74.0	0.0	0.6	0.5	12.0	8010.0	0.6	1698065066.0	1000.0	20.0	0.05	684515788.0	300.0
75.0	0.0	0.8	0.5	12.0	8010.0	0.6	1344091496.0	1000.0	20.0	0.05	1902622726.0	300.0
76.0	0.0	0.0	0.5	12.0	10.0	0.8	1322556126.0	1000.0	20.0	0.05	500276663.0	300.0
77.0	0.0	0.2	0.5	12.0	10.0	0.8	52400280.0	1000.0	20.0	0.05	1868523103.0	300.0
78.0	0.0	0.4	0.5	12.0	10.0	0.8	45675713.0	1000.0	20.0	0.05	1878407538.0	300.0
79.0	0.0	0.6	0.5	12.0	10.0	0.8	1135883846.0	1000.0	20.0	0.05	2016632526.0	300.0
80.0	0.0	0.8	0.5	12.0	10.0	0.8	1715373937.0	1000.0	20.0	0.05	2143047183.0	300.0
81.0	0.0	0.0	0.5	12.0	2010.0	0.8	753147889.0	1000.0	20.0	0.05	1647524305.0	300.0
82.0	0.0	0.2	0.5	12.0	2010.0	0.8	863140065.0	1000.0	20.0	0.05	1030525048.0	300.0
83.0	0.0	0.4	0.5	12.0	2010.0	0.8	1347557721.0	1000.0	20.0	0.05	1876207316.0	300.0
84.0	0.0	0.6	0.5	12.0	2010.0	0.8	2113303157.0	1000.0	20.0	0.05	1649854593.0	300.0
85.0	0.0	0.8	0.5	12.0	2010.0	0.8	897147334.0	1000.0	20.0	0.05	904857273.0	300.0
86.0	0.0	0.0	0.5	12.0	4010.0	0.8	1583945931.0	1000.0	20.0	0.05	512770017.0	300.0
87.0	0.0	0.2	0.5	12.0	4010.0	0.8	237241352.0	1000.0	20.0	0.05	761545285.0	300.0
88.0	0.0	0.4	0.5	12.0	4010.0	0.8	616841038.0	1000.0	20.0	0.05	636316844.0	300.0
